country,mean,std,min,max
Ukraine,0.5881723386996207,0.0912138587696456,0.45274162382755917,0.7437964647638992
Tunisia,0.5841697713903338,0.11653797605550521,0.3901508325747716,0.7649751086020096
Serbia,0.538496891456207,0.055554472322652655,0.4534058327009588,0.6075878305758039
Hungary,0.5098710384504682,0.06809263380118702,0.41429652756116675,0.618360287163027
Poland,0.3667285225210235,0.0729308285540241,0.22700594763176793,0.4430892047411596
United States of America,0.3535022428233594,0.04953652578044068,0.2706898514681457,0.42351463892806845
Argentina,0.3485567092327583,0.045704938645020635,0.26597925837243636,0.4032860718664633
Türkiye,0.307685091134191,0.05379526815985022,0.2307830423335593,0.4156716709533685
Brazil,0.2739476813100647,0.029966745424421883,0.24136808525848533,0.3183177853238385
Denmark,0.16967591744089408,0.029844354063020294,0.12449504040462334,0.2158986452457944
