threshold,precision,recall,f1,fpr,tp,fp,fn,tn,n_flagged
0.013090252112590982,0.039850560398505604,0.9411764705882353,0.07646356033452807,0.4904580152671756,96,2313,6,2403,2409
0.017828281309345818,0.11598302687411598,0.803921568627451,0.2027194066749073,0.1325275657336726,82,625,20,4091,707
0.022566310506100654,0.16919739696312364,0.7647058823529411,0.27708703374777977,0.08121289228159458,78,383,24,4333,461
0.02730433970285549,0.2261904761904762,0.7450980392156863,0.34703196347031967,0.0551314673452078,76,260,26,4456,336
0.032042368899610325,0.28294573643410853,0.7156862745098039,0.40555555555555556,0.03922815945716709,73,185,29,4531,258
0.03678039809636516,0.3380952380952381,0.696078431372549,0.4551282051282052,0.029474130619168787,71,139,31,4577,210
0.04151842729312,0.37222222222222223,0.6568627450980392,0.4751773049645391,0.023960983884648006,67,113,35,4603,180
0.04625645648987483,0.39375,0.6176470588235294,0.4809160305343511,0.020568278201865988,63,97,39,4619,160
0.05099448568662967,0.43884892086330934,0.5980392156862745,0.5062240663900415,0.01653944020356234,61,78,41,4638,139
0.05573251488338451,0.47619047619047616,0.5882352941176471,0.5263157894736842,0.013994910941475827,60,66,42,4650,126
0.06047054408013934,0.504424778761062,0.5588235294117647,0.530232558139535,0.011874469889737066,57,56,45,4660,113
0.06520857327689417,0.5436893203883495,0.5490196078431373,0.5463414634146341,0.00996607294317218,56,47,46,4669,103
0.069946602473649,0.5957446808510638,0.5490196078431373,0.5714285714285715,0.008057675996607293,56,38,46,4678,94
0.07468463167040384,0.6292134831460674,0.5490196078431373,0.5863874345549738,0.006997455470737914,56,33,46,4683,89
0.07942266086715868,0.691358024691358,0.5490196078431373,0.6120218579234973,0.005301102629346904,56,25,46,4691,81
0.08416069006391352,0.7142857142857143,0.5392156862745098,0.6145251396648044,0.004664970313825276,55,22,47,4694,77
0.08889871926066836,0.7361111111111112,0.5196078431372549,0.6091954022988507,0.004028837998303647,53,19,49,4697,72
0.0936367484574232,0.7464788732394366,0.5196078431372549,0.6127167630057804,0.003816793893129771,53,18,49,4698,71
0.09837477765417804,0.7761194029850746,0.5098039215686274,0.6153846153846153,0.0031806615776081423,52,15,50,4701,67
0.10311280685093285,0.7727272727272727,0.5,0.6071428571428571,0.0031806615776081423,51,15,51,4701,66
0.10785083604768769,0.7741935483870968,0.47058823529411764,0.5853658536585367,0.0029686174724342664,48,14,54,4702,62
0.11258886524444253,0.7868852459016393,0.47058823529411764,0.5889570552147239,0.00275657336726039,48,13,54,4703,61
0.11732689444119737,0.8070175438596491,0.45098039215686275,0.5786163522012578,0.002332485156912638,46,11,56,4705,57
0.12206492363795221,0.8181818181818182,0.4411764705882353,0.5732484076433121,0.0021204410517387615,45,10,57,4706,55
0.12680295283470705,0.8333333333333334,0.4411764705882353,0.576923076923077,0.0019083969465648854,45,9,57,4707,54
0.1315409820314619,0.8269230769230769,0.4215686274509804,0.5584415584415584,0.0019083969465648854,43,9,59,4707,52
0.13627901122821673,0.84,0.4117647058823529,0.5526315789473684,0.0016963528413910093,42,8,60,4708,50
0.14101704042497157,0.84,0.4117647058823529,0.5526315789473684,0.0016963528413910093,42,8,60,4708,50
0.14575506962172638,0.84,0.4117647058823529,0.5526315789473684,0.0016963528413910093,42,8,60,4708,50
0.15049309881848122,0.8333333333333334,0.39215686274509803,0.5333333333333333,0.0016963528413910093,40,8,62,4708,48
0.15523112801523606,0.8695652173913043,0.39215686274509803,0.5405405405405406,0.001272264631043257,40,6,62,4710,46
0.1599691572119909,0.8604651162790697,0.3627450980392157,0.5103448275862069,0.001272264631043257,37,6,65,4710,43
0.16470718640874574,0.8809523809523809,0.3627450980392157,0.5138888888888888,0.0010602205258693808,37,5,65,4711,42
0.16944521560550058,0.8780487804878049,0.35294117647058826,0.5034965034965035,0.0010602205258693808,36,5,66,4711,41
0.17418324480225542,0.868421052631579,0.3235294117647059,0.4714285714285715,0.0010602205258693808,33,5,69,4711,38
0.17892127399901026,0.8648648648648649,0.3137254901960784,0.460431654676259,0.0010602205258693808,32,5,70,4711,37
0.1836593031957651,0.8648648648648649,0.3137254901960784,0.460431654676259,0.0010602205258693808,32,5,70,4711,37
0.1883973323925199,0.8648648648648649,0.3137254901960784,0.460431654676259,0.0010602205258693808,32,5,70,4711,37
0.19313536158927475,0.8857142857142857,0.30392156862745096,0.45255474452554745,0.0008481764206955047,31,4,71,4712,35
0.19787339078602958,0.9117647058823529,0.30392156862745096,0.4558823529411764,0.0006361323155216285,31,3,71,4713,34
0.20261141998278442,0.9117647058823529,0.30392156862745096,0.4558823529411764,0.0006361323155216285,31,3,71,4713,34
0.20734944917953926,0.9032258064516129,0.27450980392156865,0.4210526315789474,0.0006361323155216285,28,3,74,4713,31
0.2120874783762941,0.9032258064516129,0.27450980392156865,0.4210526315789474,0.0006361323155216285,28,3,74,4713,31
0.21682550757304894,0.9333333333333333,0.27450980392156865,0.42424242424242425,0.00042408821034775233,28,2,74,4714,30
0.22156353676980375,0.9333333333333333,0.27450980392156865,0.42424242424242425,0.00042408821034775233,28,2,74,4714,30
0.2263015659665586,0.9310344827586207,0.2647058823529412,0.41221374045801523,0.00042408821034775233,27,2,75,4714,29
0.23103959516331343,0.9285714285714286,0.2549019607843137,0.39999999999999997,0.00042408821034775233,26,2,76,4714,28
0.23577762436006827,0.96,0.23529411764705882,0.37795275590551175,0.00021204410517387616,24,1,78,4715,25
0.2405156535568231,0.96,0.23529411764705882,0.37795275590551175,0.00021204410517387616,24,1,78,4715,25
0.24525368275357795,0.96,0.23529411764705882,0.37795275590551175,0.00021204410517387616,24,1,78,4715,25
